# Strain Tracker Export
# generated: 2026-05-21T13:10:11.861Z
# fps: 120
# video_size_px: 1280x720
# calibration: 9.629723 px per mm
# calibration_points_px: (311.780,304.734) - (985.835,298.862)
# calibration_real_distance: 70 mm
# template_size_px: 40
# search_radius_px: 25
#
frame,time_s,x_px,y_px,x_mm,y_mm,dx_mm,dy_mm,match_score
286,2.383333,385.1233,356.4445,39.993188,37.015030,3.024316,0.461539,0.9422
287,2.391667,385.1233,356.4445,39.993188,37.015030,3.024316,0.461539,0.9422
288,2.400000,385.2217,356.3270,40.003400,37.002825,3.034528,0.449333,0.9417
289,2.408333,385.2217,356.3270,40.003400,37.002825,3.034528,0.449333,0.9417
290,2.416667,385.2217,356.3270,40.003400,37.002825,3.034528,0.449333,0.9417
291,2.425000,385.2217,356.3270,40.003400,37.002825,3.034528,0.449333,0.9417
292,2.433333,385.2436,356.0648,40.005682,36.975602,3.036810,0.422111,0.9404
293,2.441667,385.2436,356.0648,40.005682,36.975602,3.036810,0.422111,0.9404
294,2.450000,385.2436,356.0648,40.005682,36.975602,3.036810,0.422111,0.9404
295,2.458333,385.2436,356.0648,40.005682,36.975602,3.036810,0.422111,0.9404
296,2.466667,385.2656,355.8442,40.007958,36.952690,3.039087,0.399199,0.9396
297,2.475000,385.2656,355.8442,40.007958,36.952690,3.039087,0.399199,0.9396
